BridgeProcessName,BridgeProcessDescription,BridgeProcessIntendedApplication,BridgeProcessDatasetOwner,BridgeProcessDataDocumentor,InputName,InputUnit,InputAmount,OutputName,OutputUnit,OutputAmount
Bridge_CDD_to_USEEIOv1_supportinfrastructure,This process links an input in a CDD process to a provider from version 1 of the USEEIO repository on the Federal LCA Commons.,NA,US EPA,US EPA,Construction machinery; at manufacturer,USD,8.852975932,Equipment support infrastructure and other equipment; unspecified,kg,1
Bridge_CDD_to_USEEIOv1_trailer,This process links an input in a CDD process to a provider from version 1 of the USEEIO repository on the Federal LCA Commons.,NA,US EPA,US EPA,Travel trailer and campers; at manufacturer,USD,28808.16452,Standard office trailer; 12x56,Item(s),1
Bridge_CDD_to_USEEIOv1_trom20hp_25ft,This process links an input in a CDD process to a provider from version 1 of the USEEIO repository on the Federal LCA Commons.,NA,US EPA,US EPA,Material handling equipment; at manufacturer,USD,52085.16146,"Trommel screen equipment; electric; unspecified size; 20 HP, 72 inch by 25 feet",Item(s),1
Bridge_CDD_to_USEEIOv1_trom20hp_47ft,This process links an input in a CDD process to a provider from version 1 of the USEEIO repository on the Federal LCA Commons.,NA,US EPA,US EPA,Material handling equipment; at manufacturer,USD,52085.16146,"Trommel screen equipment; electric; unspecified mass; 20 HP, 72 inch by 47 feet",Item(s),1
Bridge_CDD_to_USEEIOv1_trom60hp,This process links an input in a CDD process to a provider from version 1 of the USEEIO repository on the Federal LCA Commons.,NA,US EPA,US EPA,Material handling equipment; at manufacturer,USD,156255.4844,Trommel; 60 hp; electric,Item(s),1
Bridge_CDD_to_USLCI_Waste transport_localroad_unpaved,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Transport, single unit truck, diesel powered",t*km,1,Waste transport; at local road; unpaved,t*km,1
Bridge_CDD_to_USLCI_bargetransport,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Transport, barge, average fuel mix",t*km,1,"Transport, barge; average fuel mix",t*km,1
Bridge_CDD_to_USLCI_diesel_equipment,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Diesel, combusted in industrial equipment",m3,1,Diesel; combusted in industrial equipment,m3,1
Bridge_CDD_to_USLCI_diesel_openair,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Diesel, combusted in industrial equipment",m3,0.001153004,Diesel; open-air combustion,kg,1
Bridge_CDD_to_USLCI_geomembrane_15mil,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyethylene, high density, HDPE, virgin resin, at plant",kg,1,Geomembrane; high density polyethylene; at plant; 15 MIL,kg,1
Bridge_CDD_to_USLCI_geomembrane_40mil,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyethylene, high density, HDPE, virgin resin, at plant",kg,1,Geomembrane; high density polyethylene; at plant; 40 MIL,kg,1
Bridge_CDD_to_USLCI_geomembrane_60mil,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyethylene, high density, HDPE, virgin resin, at plant",kg,1,Geomembrane; high density polyethylene; at plant; 60 MIL,kg,1
Bridge_CDD_to_USLCI_geotextile,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polypropylene, resin, at plant",kg,1,Geotextile; at plant,kg,1
Bridge_CDD_to_USLCI_gypsumwallboard,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Gypsum wallboard product, regular, 0.5 inch (12.7 mm)",m2,1,"Gypsum wallboard product; regular; 0.5 inch, 12.7 mm",m2,1
Bridge_CDD_to_USLCI_lumber,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Surfaced dried lumber, at planer mill, US SE",kg,1,Surfaced dried lumber; at planer mill,kg,1
Bridge_CDD_to_USLCI_natgas_combusted,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Natural gas, combusted in industrial boiler",m3,1,Natural gas; combusted; in boiler,m3,1
Bridge_CDD_to_USLCI_pipe_hdpe,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyethylene, high density, HDPE, virgin resin, at plant",kg,1,Pipe; high density polyethylene; at plant,kg,1
Bridge_CDD_to_USLCI_pipe_pvc,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyvinyl chloride, resin, at plant",kg,1,Pipe; polyvinyl chloride; at plant,kg,1
Bridge_CDD_to_USLCI_polyol,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Soy-based polyol, at plant",kg,1,Polyol; at plant,kg,1
Bridge_CDD_to_USLCI_steelbillets,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Steel, billets, at plant",kg,1,Steel billets; at plant,kg,1
Bridge_CDD_to_USLCI_steelproduct,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Steel product, primary structural, beams and columns, at plant",kg,1,"Steel product, primary structural, beams and columns; at plant",kg,1
Bridge_CDD_to_USLCI_toluene,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Toluene diisocyanate, at plant",kg,1,Toluene diisocyanate; at plant,kg,1
Bridge_CDD_to_USLCI_traintransport,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Transport, train, diesel powered",t*km,1,"Transport, train; diesel powered",t*km,1
Bridge_CDD_to_USLCI_trucktransport_long,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Transport, single unit truck, long-haul, diesel powered",t*km,1,"Transport, single unit truck; long-haul; diesel powered",t*km,1
Bridge_CDD_to_USLCI_trucktransport_short,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Transport, single unit truck, short-haul, diesel powered",t*km,1,"Transport, single unit truck; short-haul; diesel powered",t*km,1
Bridge_CDD_to_USLCI_vinylcanvas,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyvinyl chloride, resin, at plant",kg,1,Vinyl canvas; at plant,kg,1
Bridge_CDD_to_USLCI_vinylfloor,This process links an input in a CDD process to a provider from the USLCI repository on the Federal LCA Commons.,NA,US EPA,US EPA,"Polyvinyl chloride, resin, at plant",kg,1,Vinyl flooring; at plant,kg,1
